Time,CPU Usage %,Temperature C
2018-11-26 15:25:09,10.7,62.3
2018-11-26 15:25:21,53.2,64.5
2018-11-26 15:25:32,21.7,62.3
2018-11-26 15:25:44,31.2,60.1
2018-11-26 15:25:56,21.4,62.3
2018-11-26 15:26:08,22.6,59.1
2018-11-26 15:26:20,19.5,58.5
2018-11-26 15:26:32,77.2,63.4
2018-11-26 15:26:44,62.1,61.2
2018-11-26 15:26:56,35,62.3
2018-11-26 15:27:08,92.4,65.5
2018-11-26 15:27:19,33.1,60.7
2018-11-26 15:27:31,8.9,59.1
2018-11-26 15:27:42,7.4,58
2018-11-26 15:27:54,8.8,55.8
2018-11-26 15:28:05,8,55.8
2018-11-26 15:28:17,15.3,55.8
2018-11-26 15:28:28,11.9,55.3
2018-11-26 15:28:40,23.4,58
2018-11-26 15:28:52,58.7,59.1
2018-11-26 15:29:04,49.7,59.1
2018-11-26 15:29:15,56.4,61.2
2018-11-26 15:29:28,26,56.9
2018-11-26 15:29:39,39.4,60.1
2018-11-26 15:29:51,23.8,56.4
2018-11-26 15:30:02,7.9,55.3
2018-11-26 15:30:14,8,54.8
2018-11-26 15:30:26,13.2,55.8
2018-11-26 15:30:37,6.2,53.7
2018-11-26 15:30:49,7.4,53.2
2018-11-26 15:31:00,6.8,52.6
2018-11-26 15:31:12,8.1,52.1
2018-11-26 15:31:24,45.7,56.4
2018-11-26 15:31:35,57.7,58
2018-11-26 15:31:47,24,55.8
2018-11-26 15:31:59,62.5,59.1
2018-11-26 15:32:10,66.3,61.2
2018-11-26 15:32:21,64.1,61.2
2018-11-26 15:32:33,55,60.7
2018-11-26 15:32:46,27,58
2018-11-26 15:33:00,32,60.1
2018-11-26 15:33:12,53.7,61.2
2018-11-26 15:33:23,63.7,62.8
2018-11-26 15:33:35,71.5,63.4
2018-11-26 15:33:46,73.5,64.5
2018-11-26 15:33:57,63,60.1
2018-11-26 15:34:19,47.9,64.5
2018-11-26 15:34:31,50.3,61.2
2018-11-26 15:34:43,29.9,61.8
2018-11-26 15:34:55,17.7,58.5
2018-11-26 15:35:06,12,56.9
2018-11-26 15:35:18,23.5,56.4
2018-11-26 15:35:30,18.1,56.4
2018-11-26 15:35:41,23.3,55.3
2018-11-26 15:35:53,13.9,54.8
2018-11-26 15:36:05,12.4,55.3
2018-11-26 15:36:16,10.4,54.8
2018-11-26 15:36:28,10.2,53.7
2018-11-26 15:36:40,11.3,53.2
2018-11-26 15:36:51,14.9,53.7
2018-11-26 15:37:03,9.9,53.7
2018-11-26 15:37:14,21.1,53.7
2018-11-26 15:37:26,13.4,52.6
2018-11-26 15:37:37,19.2,52.1
2018-11-26 15:37:49,11.9,52.6
2018-11-26 15:38:01,16.1,52.6
2018-11-26 15:38:13,15.9,52.6
